glyph,component,panel,family,accent,motif,badge
Mycelium,MyceliumInfo (assembly mark),—,built,#29473A,mass + roots,—
MyceliumMassing,Massing Generator,Massing,ground,#6B4F35,field + mass,grid
MyceliumCourtyard,Courtyard Config,Building Types,built,#29473A,mass (void),gear
MyceliumLinear,Linear Config,Building Types,built,#29473A,mass,gear
MyceliumPoint,Point Config,Building Types,built,#29473A,mass,gear
MyceliumL,L-Shape Config,Building Types,built,#29473A,mass,gear
MyceliumU,U-Shape Config,Building Types,built,#29473A,mass,gear
MyceliumTower,Tall Building Config,Building Types,built,#29473A,mass (plates),gear
MyceliumTree,Tree Config,Vegetation,plant,#7E9469,canopy,gear
MyceliumTerrain,Terrain Generator,Site,ground,#6B4F35,terrain,—
MyceliumTemplate,Mycelium Templates,Utilities,tool,#5A6660,stack,down
